Codigo,Departamento,Municipio,Esperanza de vida al nacer,Tasa de alfabetismo en adultos (% de 15+ años),Tasa de Escolaridad (% de 7+ años),Ingreso estimado per capita anual (US$ PPA),Indice de Salud,Indice de Educacion,Indice de Ingreso,IDH 2009,IDH 2002
420,Copan,San Pedro,70.13,82.33,51.04,"1,972.66",0.752,0.719,0.498,0.646,0.628
421,Copan,Santa Rita,69.73,64.11,28.61,"1,667.20",0.746,0.523,0.47,0.568,0.54
422,Copan,Trinidad,70.49,73.12,34.93,"2,298.17",0.758,0.604,0.523,0.621,0.594
423,Copan,Veracruz,70.63,77.58,38.74,"2,433.81",0.761,0.646,0.533,0.64,0.61
501,Cortes,San Pedro Sula,72.71,93.15,58.96,"6,492.78",0.795,0.818,0.697,0.768,0.741
502,Cortes,Choloma,72.25,90.78,49.01,"5,234.18",0.788,0.769,0.661,0.737,0.709
503,Cortes,Omoa,70.71,83.14,43.49,"2,747.47",0.762,0.699,0.553,0.665,0.644
504,Cortes,Pimienta,71.71,87.56,48.37,"4,183.30",0.779,0.745,0.623,0.712,0.684
505,Cortes,Potrerillos,71.67,86.3,48.08,"4,087.72",0.778,0.736,0.619,0.708,0.68
506,Cortes,Puerto Cortes,71.91,90.64,52.66,"4,652.79",0.782,0.78,0.641,0.731,0.705
507,Cortes,San Antonio de Cortes,70.37,75.4,38.77,"2,447.26",0.756,0.632,0.534,0.634,0.615
508,Cortes,San Francisco de Yojoa,71.37,85.17,48.87,"3,688.60",0.773,0.731,0.602,0.698,0.673
509,Cortes,San Manuel,71.66,89.62,50.48,"4,065.70",0.778,0.766,0.618,0.717,0.69
510,Cortes,Santa Cruz de Yojoa,70.91,82.48,44.37,"3,039.39",0.765,0.698,0.57,0.673,0.651
511,Cortes,Villanueva,72.19,88.93,49.81,"5,181.64",0.787,0.759,0.659,0.733,0.705
512,Cortes,La Lima,72.39,93.72,60.78,"5,582.56",0.79,0.827,0.671,0.76,0.732
601,Choluteca,Choluteca,72.73,85.75,53.84,"4,157.58",0.796,0.751,0.622,0.719,0.662
602,Choluteca,Apacilagua,70.66,72.8,39.57,"1,762.60",0.761,0.617,0.479,0.608,0.561
