Codigo,Departamento,Municipio,Esperanza de vida al nacer,Tasa de alfabetismo en adultos (% de 15+ años),Tasa de Escolaridad (% de 7+ años),Ingreso estimado per capita anual (US$ PPA),Indice de Salud,Indice de Educacion,Indice de Ingreso,IDH 2009,IDH 2002
1516,Olancho,Salama,72.4,80.21,51.4,"2,732.43",0.79,0.706,0.552,0.675,0.647
1517,Olancho,San Esteban,72.13,78.27,40.01,"2,511.82",0.786,0.655,0.538,0.652,0.625
1518,Olancho,San Francisco de Becerra,72.33,76.69,46.14,"2,676.42",0.789,0.665,0.549,0.66,0.632
1519,Olancho,San Francisco de La Paz,72.24,78.55,46.25,"2,623.35",0.787,0.678,0.545,0.663,0.636
1520,Olancho,Santa Maria del Real,72.53,81.67,48.75,"2,866.32",0.792,0.707,0.56,0.679,0.647
1521,Olancho,Silca,71.9,80.16,51.04,"2,193.89",0.782,0.705,0.515,0.657,0.632
1522,Olancho,Yocon,71.12,59.1,23.41,"1,614.60",0.769,0.472,0.464,0.552,0.533
1523,Olancho,Patuca,71.92,76.4,38.53,"2,311.33",0.782,0.638,0.524,0.639,0.617
1601,Santa Barbara,Santa Barbara,73.47,79.72,49.58,"3,312.42",0.808,0.697,0.584,0.69,0.646
1602,Santa Barbara,Arada,72.62,70.81,39.44,"2,309.47",0.794,0.604,0.524,0.631,0.593
1603,Santa Barbara,Atima,71.81,70.7,36.66,"1,625.06",0.78,0.594,0.465,0.599,0.566
1604,Santa Barbara,Azacualpa,72.09,76.52,40.03,"1,823.04",0.785,0.644,0.485,0.626,0.589
1605,Santa Barbara,Ceguaca,72.3,70.61,37.95,"2,084.25",0.788,0.597,0.507,0.62,0.584
1606,Santa Barbara,Concepcion del Norte,71.81,71.11,38.35,"1,688.20",0.78,0.602,0.472,0.605,0.568
1607,Santa Barbara,Concepcion del Sur,72.17,70.73,41.22,"1,945.72",0.786,0.609,0.495,0.619,0.585
1608,Santa Barbara,Chinda,71.95,68.11,37.46,"1,812.80",0.783,0.579,0.484,0.603,0.566
1609,Santa Barbara,El Nispero,72.62,68.96,37.98,"2,385.46",0.794,0.586,0.529,0.627,0.59
1610,Santa Barbara,Gualala,72.37,70.89,39.55,"2,166.06",0.79,0.604,0.513,0.626,0.59
1611,Santa Barbara,Ilama,72.37,71.17,37.91,"2,144.70",0.79,0.601,0.512,0.624,0.589
1612,Santa Barbara,Macuelizo,72.62,74.45,41.81,"2,286.18",0.794,0.636,0.522,0.641,0.597
1613,Santa Barbara,Naranjito,71.95,64.93,32.42,"1,728.22",0.783,0.541,0.476,0.586,0.548
1614,Santa Barbara,Nuevo Celilac,71.86,70.1,38.55,"1,733.96",0.781,0.596,0.476,0.605,0.571
1615,Santa Barbara,Petoa,72.44,72.68,40.36,"2,153.87",0.791,0.619,0.512,0.631,0.588
1616,Santa Barbara,Proteccion,71.41,62.12,26.6,"1,397.21",0.774,0.503,0.44,0.555,0.522
1617,Santa Barbara,Quimistan,72.55,74.67,40.36,"2,271.92",0.793,0.632,0.521,0.639,0.597
1618,Santa Barbara,San Francisco de Ojuera,72.29,78.45,44.98,"2,024.69",0.788,0.673,0.502,0.643,0.611
1619,Santa Barbara,San Jose de Colinas,72.51,71.35,39.86,"2,248.88",0.792,0.609,0.52,0.631,0.592
1620,Santa Barbara,San Luis,71.88,64.38,31.79,"1,709.76",0.781,0.535,0.474,0.583,0.544
1621,Santa Barbara,San Marcos,72.47,70.71,41.71,"2,189.52",0.791,0.61,0.515,0.629,0.585
1622,Santa Barbara,San Nicolas,72.47,72.58,39.52,"2,174.76",0.791,0.616,0.514,0.63,0.59
1623,Santa Barbara,San Pedro Zacapa,72.24,79.78,46.75,"1,984.20",0.787,0.688,0.499,0.646,0.614
1624,Santa Barbara,San Vicente Centenario,72.29,71.52,39.13,"2,080.05",0.788,0.607,0.507,0.624,0.586
1625,Santa Barbara,Santa Rita,72.71,68.99,37.06,"2,352.71",0.795,0.583,0.527,0.625,0.584
1626,Santa Barbara,Trinidad,72.91,72.06,40.61,"2,687.09",0.799,0.616,0.549,0.646,0.6
1627,Santa Barbara,Las Vegas,73.09,82.27,48.46,"2,800.37",0.802,0.71,0.556,0.682,0.638
1628,Santa Barbara,Nueva Frontera,71.63,69.46,33.43,"1,501.26",0.777,0.575,0.452,0.587,0.552
1701,Valle,Nacaome,71.96,80.02,49.43,"2,979.26",0.783,0.698,0.567,0.677,0.648
1702,Valle,Alianza,71.33,76.32,47.69,"2,246.83",0.772,0.668,0.519,0.644,0.618
1703,Valle,Amapala,72.17,80.09,45.24,"3,390.20",0.786,0.685,0.588,0.682,0.655
1704,Valle,Aramecina,71.37,80.88,48.42,"2,266.92",0.773,0.701,0.521,0.656,0.637
1705,Valle,Caridad,71.44,84.56,44.61,"2,266.25",0.774,0.712,0.521,0.66,0.645
1706,Valle,Goascoran,71.79,80.36,51.44,"2,734.17",0.78,0.707,0.552,0.673,0.648
1707,Valle,Langue,71.45,75.67,47.6,"2,426.09",0.774,0.663,0.532,0.649,0.626
1708,Valle,San Francisco de Coray,70.88,64.96,39.2,"1,920.77",0.765,0.564,0.493,0.597,0.576
1709,Valle,San Lorenzo,72.84,84.35,51.53,"4,355.21",0.797,0.734,0.63,0.717,0.684
1801,Yoro,Yoro,71.44,77.37,39.12,"2,445.13",0.774,0.646,0.534,0.644,0.614
1802,Yoro,Arenal,71.89,86.66,44.11,"2,950.42",0.782,0.725,0.565,0.684,0.652
1803,Yoro,El Negrito,71.49,79.26,40.8,"2,464.69",0.775,0.664,0.535,0.651,0.621
1804,Yoro,El Progreso,72.87,89.72,52.44,"4,364.50",0.798,0.773,0.63,0.73,0.694
1805,Yoro,Jocon,71.21,76.23,37.81,"2,202.09",0.77,0.634,0.516,0.632,0.604
1806,Yoro,Morazan,71.28,77.34,40.32,"2,267.54",0.771,0.65,0.521,0.639,0.61
1807,Yoro,Olanchito,72.12,87.13,49.24,"3,192.04",0.785,0.745,0.578,0.697,0.665
1808,Yoro,Santa Rita,72.35,86.59,50.32,"3,534.17",0.789,0.745,0.595,0.705,0.67
1809,Yoro,Sulaco,71.19,76.2,39.32,"2,172.15",0.77,0.639,0.514,0.632,0.604
1810,Yoro,Victoria,71.02,77.06,35.73,"2,060.11",0.767,0.633,0.505,0.626,0.6
1811,Yoro,Yorito,71.14,75.22,35.02,"2,142.91",0.769,0.618,0.512,0.624,0.596
