"","nombre","cod_muni","dep","mun","cod_mun_","codpais","shape_leng","shape_area","km2","densidad"
"70","Corquin","0405",4,5,405,"HN",71062.6955994,138617656.786,138.618,77.0104
"71","Cucuyagua","0406",4,6,406,"HN",62724.2673371,136129326.165,136.129,83.7292
"72","Dolores","0407",4,7,407,"HN",40560.5378218,47614812.5957,47.6148,103.035
"73","Dulce Nombre","0408",4,8,408,"HN",30966.3740116,28358538.5823,28.3585,158.012
"74","El Paraiso","0409",4,9,409,"HN",75714.6295885,256962175.145,256.962,70.2594
"75","Florida","0410",4,10,410,"HN",123221.033617,342023050.759,342.023,73.0448
"76","La Jigua","0411",4,11,411,"HN",66272.1893615,112883847.484,112.884,69.1596
"77","La Union","0412",4,12,412,"HN",73270.1945445,218286090.693,218.286,52.2296
"78","Nueva Arcadia","0413",4,13,413,"HN",70067.6440629,147577174.612,147.577,186.757
"79","San Jose","0417",4,17,417,"HN",42298.5486852,52025581.6242,52.0256,101.008
"80","San Juan de Opoa","0418",4,18,418,"HN",46641.9887044,75152286.3694,75.1523,98.5599
"81","San Nicolas","0419",4,19,419,"HN",48267.4895612,75102647.5131,75.1026,76.4287
"82","San Pedro","0420",4,20,420,"HN",47919.6401853,60150014.007,60.15,84.9044
"83","Santa Rita","0421",4,21,421,"HN",80178.6494368,314099234.098,314.099,75.6863
"84","Trinidad de Copan","0422",4,22,422,"HN",47764.4603235,74399192.3293,74.3992,76.0895
"85","Omoa","0503",5,3,503,"HN",159242.705391,393694833.942,393.695,76.5771
"86","Pimienta","0504",5,4,504,"HN",36297.6237799,55415901.8923,55.4159,224.863
"87","Potrerillos","0505",5,5,505,"HN",60909.471047,99433096.6179,99.4331,178.291
"88","Puerto Cortes","0506",5,6,506,"HN",174227.329266,383342102.616,383.342,235.197
"89","San Antonio de Cortes","0507",5,7,507,"HN",80669.6575691,221078297.735,221.078,86.6571
"90","San Francisco de Yojoa","0508",5,8,508,"HN",49246.5694257,98649980.6671,98.65,141.592
"91","San Manuel","0509",5,9,509,"HN",69324.0832346,141379277.46,141.379,217.429
"92","Villanueva","0511",5,11,511,"HN",98758.673068,349291832.498,349.292,230.93
"93","San Jose","0614",6,14,614,"HN",40161.9918932,63295099.4966,63.2951,53.6692
"94","San Marcos de Colon","0615",6,15,615,"HN",116569.467689,578100484.61,578.1,35.4489
"95","Santa Ana de Yusguare","0616",6,16,616,"HN",47638.3798287,71922553.7595,71.9226,141.625
"96","Yuscaran","0701",7,1,701,"HN",93867.3701854,331967701.794,331.968,34.2925
"97","Alauca","0702",7,2,702,"HN",81112.9611434,197483377.973,197.483,39.9021
"98","Danli","0703",7,3,703,"HN",243950.337534,2517924593.32,2517.92,53.6696
"99","El Paraiso","0704",7,4,704,"HN",102581.218501,356176778.135,356.177,97.2916
"100","Guinope","0705",7,5,705,"HN",83028.9632532,200752804.471,200.753,34.55
"101","Jacaleapa","0706",7,6,706,"HN",68464.7432287,112216234.295,112.216,29.0421
"102","Liure","0707",7,7,707,"HN",44633.6229335,89286686.5104,89.2867,108.717
"103","Moroceli","0708",7,8,708,"HN",114522.737939,362827639.291,362.828,32.9881
"104","Oropoli","0709",7,9,709,"HN",64995.3023325,168297135.538,168.297,31.3434
"105","Potrerillos","0710",7,10,710,"HN",59524.9712505,130432587.158,130.433,23.3377
"106","San Antonio de Flores","0711",7,11,711,"HN",62855.2346826,146161142.422,146.161,32.6763
"107","San Lucas","0712",7,12,712,"HN",63509.584629,126797394.827,126.797,54.0153
"108","San Matias","0713",7,13,713,"HN",57952.0567467,115904962.971,115.905,35.3738
"109","Soledad","0714",7,14,714,"HN",55555.8814656,157473479.853,157.473,60.5943
"110","Teupasenti","0715",7,15,715,"HN",136636.804684,668194429.926,668.194,44.1773
"111","Texiguat","0716",7,16,716,"HN",72905.2808199,186348184.647,186.348,43.5099
"112","Vado Ancho","0717",7,17,717,"HN",48624.2348185,67794418.7279,67.7944,53.0427
"113","Yauyupe","0718",7,18,718,"HN",39153.01087,64794291.9568,64.7943,20.6654
"114","Trojes","0719",7,19,719,"HN",266836.721437,1383012792.83,1383.01,24.7857
"115","Distrito Central","0801",8,1,801,"HN",233363.864006,1501625885.42,1501.63,566.204
"116","Valle de Angeles","0826",8,26,826,"HN",57192.0090639,105953927.101,105.954,98.6655
"117","Villa de San Francisco","0827",8,27,827,"HN",46310.5138672,78356949.1091,78.3569,98.8425
"118","Vallecillo","0828",8,28,828,"HN",73569.8649872,220012267.382,220.012,28.8757
"119","La Esperanza","1001",10,1,1001,"HN",79980.6423434,156425705.272,156.426,47.3771
"120","Camasca","1002",10,2,1002,"HN",39820.0271987,66411886.4668,66.4119,96.0973
"121","Colomoncagua","1003",10,3,1003,"HN",83133.0159865,183358475.651,183.358,84.7029
"122","Concepcion","1004",10,4,1004,"HN",47532.1703357,92093131.3843,92.0931,103.113
"123","Dolores","1005",10,5,1005,"HN",39173.6451096,81653114.7119,81.6531,46.5016
"124","Intibuca","1006",10,6,1006,"HN",154346.225798,531250375.014,531.25,73.0202
"125","Jesus de Otoro","1007",10,7,1007,"HN",106963.21908,419136012.682,419.136,50.2009
"126","Magdalena","1008",10,8,1008,"HN",36076.8046686,40302241.6667,40.3022,101.21
"127","Masaguara","1009",10,9,1009,"HN",94097.2783871,252738107.735,252.738,49.2605
"128","San Antonio","1010",10,10,1010,"HN",55407.8155004,90458419.4147,90.4584,56.0036
"129","San Isidro","1011",10,11,1011,"HN",41633.3514708,79354951.4211,79.3549,38.5861
"130","San Juan","1012",10,12,1012,"HN",59446.2424529,179309864.883,179.31,49.5176
"131","San Marcos de Sierra","1013",10,13,1013,"HN",58149.7020668,142684622.853,142.685,45.3938
"132","Alubaren","0802",8,2,802,"HN",32214.7191271,46255899.3949,46.2559,107.078
"133","Cedros","0803",8,3,803,"HN",170026.953105,780379254.426,780.379,22.7082
"134","Curaren","0804",8,4,804,"HN",82935.8280033,307640146.353,307.64,55.4674
"135","El Porvenir","0805",8,5,805,"HN",132775.008849,415710586.548,415.711,34.1223
"136","Guaimaca","0806",8,6,806,"HN",139316.921316,780209760.076,780.21,26.648
"137","La Libertad","0807",8,7,807,"HN",30730.0907971,38869245.6102,38.8692,69.0006
"138","La Venta","0808",8,8,808,"HN",52631.7807114,126333692.085,126.334,45.2848
"139","Lepaterique","0809",8,9,809,"HN",107312.349283,566545394.199,566.545,23.6715
"140","Maraita","0810",8,10,810,"HN",77322.2355218,263279189.434,263.279,20.9397
"141","Marale","0811",8,11,811,"HN",91587.4965818,402297350.556,402.297,17.2907
"142","Nueva Armenia","0812",8,12,812,"HN",73051.1269792,181991498.577,181.992,12.9951
"143","Ojojona","0813",8,13,813,"HN",84314.8580382,240868012.356,240.868,33.4789
"144","Orica","0814",8,14,814,"HN",119620.659972,398947652.132,398.948,26.5072
"145","Reitoca","0815",8,15,815,"HN",63055.7872131,194416371.457,194.416,48.6996
"146","Sabanagrande","0816",8,16,816,"HN",88487.9017901,242453641.796,242.454,63.6905
"147","San Antonio de Oriente","0817",8,17,817,"HN",73092.7991429,211232808.821,211.233,57.1076
"148","San Miguelito","1014",10,14,1014,"HN",73982.4588752,162035284.331,162.035,29.8515
"149","Santa Lucia","1015",10,15,1015,"HN",51503.9265291,62222606.4192,62.2226,80.6781
"150","Yamaranguila","1016",10,16,1016,"HN",90027.1426957,298126814.45,298.127,52.8668
"151","San Francisco de Opalaca","1017",10,17,1017,"HN",98622.8226258,289250581.556,289.251,24.2904
"152","Roatan","1101",11,1,1101,"HN",88268.6619959,66416089.3542,66.4161,262.361
"153","Guanaja","1102",11,2,1102,"HN",60501.6420342,57033784.0671,57.0338,79.5143
"154","Jose Santos Guardiola","1103",11,3,1103,"HN",117460.173322,64366715.5701,64.3667,118.275
"155","Utila","1104",11,4,1104,"HN",49659.872826,41860444.5708,41.8604,47.2761
"156","La Paz","1201",12,1,1201,"HN",102483.214065,232262654.717,232.263,124.975
"157","Aguanqueterique","1202",12,2,1202,"HN",66386.7667144,189673328.423,189.673,24.4789
"158","Cabanas","1203",12,3,1203,"HN",77063.1034984,155138177.483,155.138,14.7675
