departamento,edad,hombre,mujer,total
valle,98,3,7,10
valle,99,4,8,12
valle,100,3,5,8
valle,101,3,3,6
valle,102,0,3,3
valle,103,0,1,1
valle,105,0,1,1
yoro,0,5229,5173,10402
yoro,1,6367,5923,12290
yoro,2,7213,7032,14245
yoro,3,7342,7060,14402
yoro,4,6762,6525,13287
yoro,5,6595,6289,12884
yoro,6,6124,6019,12143
yoro,7,6485,6135,12620
yoro,8,7031,6524,13555
yoro,9,6387,5966,12353
yoro,10,6836,6334,13170
yoro,11,6348,6314,12662
yoro,12,7184,6799,13983
yoro,13,7611,7339,14950
yoro,14,7230,6742,13972
yoro,15,7100,6769,13869
yoro,16,6594,6351,12945
yoro,17,6624,6310,12934
yoro,18,6879,6751,13630
yoro,19,5233,5603,10836
yoro,20,5730,6147,11877
yoro,21,4543,4951,9494
yoro,22,5027,5261,10288
yoro,23,4907,5229,10136
yoro,24,4168,4750,8918
yoro,25,4128,4742,8870
yoro,26,3503,4096,7599
yoro,27,3457,4081,7538
yoro,28,3798,4521,8319
yoro,29,2845,3538,6383
yoro,30,4226,4981,9207
yoro,31,2277,2759,5036
yoro,32,3125,3859,6984
yoro,33,2870,3570,6440
yoro,34,2830,3225,6055
yoro,35,3041,3345,6386
yoro,36,2772,3319,6091
yoro,37,2398,2746,5144
yoro,38,3002,3553,6555
yoro,39,2190,2744,4934
yoro,40,3329,3659,6988
yoro,41,1561,1846,3407
yoro,42,2648,2941,5589
yoro,43,2207,2600,4807
yoro,44,1638,1904,3542
yoro,45,2357,2409,4766
yoro,46,1559,1843,3402
yoro,47,1627,1875,3502
yoro,48,2084,2422,4506
yoro,49,1445,1807,3252
yoro,50,2553,2791,5344
yoro,51,1174,1351,2525
yoro,52,1853,2044,3897
yoro,53,1710,1932,3642
yoro,54,1537,1802,3339
yoro,55,1451,1498,2949
yoro,56,1475,1555,3030
yoro,57,1129,1289,2418
yoro,58,1469,1633,3102
yoro,59,1140,1300,2440
yoro,60,1944,1991,3935
yoro,61,766,850,1616
yoro,62,1169,1207,2376
yoro,63,1294,1365,2659
yoro,64,1049,1144,2193
yoro,65,1216,1267,2483
yoro,66,938,935,1873
yoro,67,872,873,1745
yoro,68,865,955,1820
yoro,69,599,690,1289
yoro,70,1026,1033,2059
yoro,71,465,467,932
yoro,72,778,710,1488
yoro,73,773,749,1522
yoro,74,618,664,1282
yoro,75,677,670,1347
yoro,76,565,543,1108
yoro,77,471,428,899
yoro,78,636,620,1256
yoro,79,328,384,712
yoro,80,571,561,1132
yoro,81,226,227,453
yoro,82,331,309,640
yoro,83,336,325,661
yoro,84,281,318,599
yoro,85,307,281,588
yoro,86,248,216,464
yoro,87,190,214,404
yoro,88,168,177,345
yoro,89,138,161,299
yoro,90,126,164,290
yoro,91,30,36,66
yoro,92,26,53,79
yoro,93,34,62,96
yoro,94,33,41,74
yoro,95,21,36,57
yoro,96,18,34,52
yoro,97,16,25,41
yoro,98,19,24,43
yoro,99,12,26,38
yoro,100,6,8,14
yoro,101,5,6,11
yoro,102,6,3,9
yoro,103,1,2,3
yoro,104,0,3,3
yoro,105,2,5,7
