Departamento,Municipio,PN,PINU-SD,DC,PL,UD,Total Marcas
EL PARAISO,OROPOLI,8514,510,493,3082,540,13139
EL PARAISO,POTRERILLOS,2079,84,105,1525,62,3855
EL PARAISO,SAN ANTONIO DE FLORES,6752,210,136,3049,197,10344
EL PARAISO,SAN LUCAS,6150,224,193,6027,189,12783
EL PARAISO,SAN MATIAS,4667,166,61,3115,108,8117
EL PARAISO,SOLEDAD,3916,374,298,6132,593,11313
EL PARAISO,TEUPASENTI,28355,1139,864,19049,573,49980
EL PARAISO,TEXIGUAT,4565,247,311,6225,288,11636
EL PARAISO,VADO ANCHO,3071,172,41,2151,139,5574
EL PARAISO,YAUYUPE,1451,175,107,2118,100,3951
EL PARAISO,TROJES,26735,848,1148,12139,682,41552
FRANCISCO MORAZAN,DISTRITO CENTRAL,2622275,541022,359204,1143257,311675,4977433
FRANCISCO MORAZAN,ALUBAREN,16789,619,710,8914,612,27644
FRANCISCO MORAZAN,CEDROS,51882,2673,1256,27661,2531,86003
FRANCISCO MORAZAN,CURAREN,51592,1694,680,23398,2604,79968
FRANCISCO MORAZAN,EL PORVENIR,58075,1639,1257,20825,6177,87973
FRANCISCO MORAZAN,GUAIMACA,71039,2934,2389,26986,2609,105957
FRANCISCO MORAZAN,LA LIBERTAD,16345,971,1545,10007,980,29848
FRANCISCO MORAZAN,LA VENTA,13114,569,1366,6207,783,22039
FRANCISCO MORAZAN,LEPATERIQUE,29794,2657,1104,20971,1977,56503
FRANCISCO MORAZAN,MARAITA,28890,2612,738,11215,1876,45331
FRANCISCO MORAZAN,MARALE,14290,944,305,7129,1671,24339
FRANCISCO MORAZAN,NUEVA ARMENIA,6436,949,914,6495,1702,16496
FRANCISCO MORAZAN,OJOJONA,26181,1656,1947,25088,1713,56585
FRANCISCO MORAZAN,ORICA,33473,877,790,16464,2437,54041
FRANCISCO MORAZAN,REITOCA,26115,1062,422,22260,762,50621
FRANCISCO MORAZAN,SABANAGRANDE,35732,3442,1916,35655,2641,79386
