Departamento,Municipio,Padron Electoral,"Partido Innovacion y Unidad SD","Partido Nacional de Honduras","Partido Liberal de Honduras","Partido Unificacion Democratica","Partido Democrata Cristiano","Votos Validos","Votos Nulos","VotosBlancos","Votos Escrutados","Papeletas Sobrantes"
Atlantida,LA CEIBA,86.157,700,16.892,16.971,421,380,35.364,1.735,832,37.931,48.226
Atlantida,EL PORVENIR,10.004,114,2.53,2.339,35,13,5.031,279,126,5.436,4.568
Atlantida,ESPARTA,9.062,20,1.799,2.033,46,24,3.922,414,151,4.487,4.575
Atlantida,JUTIAPA,15.951,61,3.899,3.379,65,25,7.429,812,268,8.509,7.442
Atlantida,LA MASICA,15.838,37,3.523,4.121,91,35,7.807,573,197,8.577,7.261
Atlantida,SAN FRANCISCO,7.045,23,1.374,2.08,17,20,3.514,264,87,3.865,3.18
Atlantida,TELA,51.961,212,9.233,9.49,262,269,19.466,1.424,652,21.542,30.419
Atlantida,ARIZONA,13.236,40,2.41,2.961,66,45,5.522,653,249,6.424,6.812
Colon,TRUJILLO,27.144,45,4.923,7.282,267,99,12.616,803,300,13.719,13.425
Colon,BALFATE,4.716,14,490,562,21,15,1.102,107,49,1.258,3.458
Colon,IRIONA,6.399,5,749,1.308,25,22,2.109,91,58,2.258,4.141
Colon,LIMON,5.299,7,835,1.102,41,19,2.004,150,139,2.293,3.006
Colon,SABA,17.902,32,3.465,4.61,222,66,8.395,442,180,9.017,8.885
Colon,SANTA FE,2.958,14,421,670,41,18,1.164,77,41,1.282,1.676
Colon,SANTA ROSA AGUAN,3.119,12,608,735,6,3,1.364,111,33,1.508,1.611
Colon,SONAGUERA,22.079,27,3.914,5.539,179,57,9.716,578,197,10.491,11.588
Colon,TOCOA,36.398,79,6.279,9.057,551,72,16.038,898,579,17.515,18.883
Colon,BONITO ORIENTAL,15.773,24,3.177,3.086,235,36,6.558,479,161,7.198,8.575
Comayagua,COMAYAGUA,58.918,247,13.58,15.398,433,295,29.953,1.984,753,32.69,26.228
Comayagua,AJUTERIQUE,6.613,16,1.811,2.027,46,15,3.915,295,90,4.3,2.313
Comayagua,EL ROSARIO,10.812,20,3.049,2.891,21,62,6.043,484,191,6.718,4.094
Comayagua,ESQUIAS,7.805,26,1.948,1.585,23,22,3.604,449,143,4.196,3.609
Comayagua,HUMUYA,1.031,4,346,336,3,6,695,39,19,753,278
Comayagua,LA LIBERTAD,10.933,33,2.584,2.772,54,39,5.482,380,205,6.067,4.866
Comayagua,LAMANI,3.432,11,874,1.1,9,11,2.005,122,42,2.169,1.263
Comayagua,LA TRINIDAD,2.311,10,695,730,7,16,1.458,191,42,1.691,620
Comayagua,LEJAMANI,3.516,4,1.156,1.255,17,5,2.437,95,29,2.561,955
Comayagua,MEAMBAR,5.318,20,1.142,1.451,9,10,2.632,278,109,3.019,2.299
Comayagua,MINAS DE ORO,6.281,27,1.374,1.835,14,26,3.276,257,102,3.635,2.646
Comayagua,OJOS DE AGUA,4.757,12,1.399,1.515,19,14,2.959,218,80,3.257,1.5
Comayagua,SAN JERONIMO,9.743,20,2.433,2.057,22,40,4.572,389,155,5.116,4.627
Comayagua,SAN JOSE DE COMAYAGUA,3.986,23,905,957,40,54,1.979,242,89,2.31,1.676
Comayagua,SAN JOSE DEL POTRERO,2.886,9,327,1.11,16,19,1.481,173,47,1.701,1.185
Comayagua,SAN LUIS,4.526,7,832,1.297,21,8,2.165,132,74,2.371,2.155
Comayagua,SAN SEBASTIAN,2.061,8,435,508,4,12,967,49,39,1.055,1.006
Comayagua,SIGUATEPEQUE,41.035,234,7.796,9.706,216,245,18.197,1.114,472,19.783,21.252
Comayagua,VILLA DE SAN ANTONIO,9.488,24,2.017,2.247,64,44,4.396,304,97,4.797,4.691
Comayagua,LAS LAJAS,5.739,9,890,1.142,46,11,2.098,206,92,2.396,3.343
Comayagua,TAULABE,12.703,33,2.426,3.294,104,45,5.902,548,183,6.633,6.07
Copan,SANTA ROSA DE COPAN,27.38,109,6.144,7.216,162,137,13.768,969,412,15.149,12.231
Copan,CABAÑAS,5.696,30,1.865,1.919,25,42,3.881,274,147,4.302,1.394
Copan,CONCEPCION,3.104,27,676,734,13,26,1.476,199,143,1.818,1.286
Copan,COPAN RUINAS,17.762,36,4.62,5.528,71,74,10.329,1.174,326,11.829,5.933
Copan,CORQUIN,7.021,20,2.135,2.255,44,25,4.479,292,254,5.025,1.996
Copan,CUCUYAGUA,6.499,16,1.627,2.204,12,23,3.882,494,134,4.51,1.989
Copan,DOLORES,2.622,25,703,725,7,32,1.492,183,139,1.814,808
Copan,DULCE NOMBRE,3.159,9,794,919,20,15,1.757,149,79,1.985,1.174
Copan,EL PARAISO,10.978,32,3.028,1.58,51,32,4.723,476,249,5.448,5.53
Copan,FLORIDA,14.162,110,2.375,3.283,47,48,5.863,759,307,6.929,7.233
Copan,LA JIGUA,5.322,33,1.103,1.026,13,26,2.201,255,153,2.609,2.713
Copan,LA UNION,5.961,28,2.079,1.593,22,24,3.746,200,181,4.127,1.834
Copan,NUEVA ARCADIA,19.468,75,3.917,5.023,84,78,9.177,925,318,10.42,9.048
Copan,SAN AGUSTIN,2.257,4,564,630,2,16,1.216,163,51,1.43,827
Copan,SAN ANTONIO,5.604,22,1.482,1.602,14,17,3.137,340,145,3.622,1.982
Copan,SAN JERONIMO,3.148,9,845,1.107,11,12,1.984,164,78,2.226,922
Copan,SAN JOSE,3.865,9,1.314,1.334,9,17,2.683,174,89,2.946,919
