Departamento,Municipio,PINU,PN,PL,UD,DC
Francisco Morazan,Marale,25,846,891,18,23
La Paz,Marcala,67,3374,4154,214,65
Choluteca,Marcovia,124,4491,5745,58,140
Intibuca,Masaguara,27,1916,1227,22,43
Comayagua,Meambar,20,1142,1451,9,10
Ocotepeque,Mercedes,25,1049,669,20,12
La Paz,Mercedes de Oriente,8,154,237,10,14
Comayagua,Minas de Oro,27,1374,1835,14,26
Yoro,Morazan,67,3384,3554,80,81
El Paraiso,Moroceli,29,1718,1938,14,33
Choluteca,Morolica,18,1006,1361,10,20
Valle,Nacaome,44,6954,8634,116,234
Choluteca,Namasigue,62,4742,4833,49,93
Santa Barbara,Naranjito,15,2016,1750,21,20
Copan,Nueva Arcadia,75,3917,5023,84,78
Francisco Morazan,Nueva Armenia,14,512,1144,13,86
Santa Barbara,Nueva Frontera,20,1567,1870,167,19
Santa Barbara,Nuevo Celilac,10,682,1140,11,20
Ocotepeque,Ocotepeque,41,2866,3644,31,39
Francisco Morazan,Ojojona,45,1672,1866,22,65
Comayagua,Ojos de Agua,12,1399,1515,19,14
Yoro,Olanchito,53,7927,9940,239,133
Cortes,Omoa,87,4474,4804,65,267
La Paz,Opatoro,17,1232,1220,94,22
Francisco Morazan,Orica,23,1748,2039,27,17
Choluteca,Orocuina,38,3166,2436,25,32
El Paraiso,Oropoli,11,1722,1587,11,3
Olancho,Patuca,34,3469,3983,33,96
Choluteca,Pespire,40,4643,4281,43,75
Santa Barbara,Petoa,28,2004,2001,29,16
Cortes,Pimienta,43,2527,1978,56,52
Lempira,Piraera,21,1793,1398,35,40
Cortes,Potrerillos,35,2507,2232,53,57
El Paraiso,Potrerillos,8,417,601,11,17
Santa Barbara,Proteccion,20,1274,1047,35,23
Cortes,Puerto Cortes,382,11731,15825,460,319
Gracias a Dios,Puerto Lempira,35,2236,3775,91,173
Santa Barbara,Quimistan,28,4612,3452,139,222
Gracias a Dios,Ramón Villeda Morales,7,278,984,21,35
Francisco Morazan,Reitoca,18,1455,1758,12,31
Islas de la Bahia,Roatan,29,3418,3469,26,52
Colon,Saba,32,3465,4610,222,66
Francisco Morazan,Sabanagrande,48,2300,3404,73,29
Olancho,Salama,5,1236,1591,14,9
Copan,San Agustin,4,564,630,2,16
Lempira,San Andres,17,1697,1524,14,20
Intibuca,San Antonio,10,919,815,16,11
Copan,San Antonio,22,1482,1602,14,17
Cortes,San Antonio de Cortes,45,2727,2644,71,48
El Paraiso,San Antonio de Flores,9,1166,1137,6,10
Choluteca,San Antonio de Flores,12,1302,1224,10,10
Francisco Morazan,San Antonio de Oriente,49,1649,1902,21,38
La Paz,San Antonio del Norte,4,381,579,5,7
Francisco Morazan,San Buenaventura,20,818,897,10,16
Olancho,San Esteban,24,2389,3642,45,22
Ocotepeque,San Fernando,21,892,1157,9,20
Lempira,San Francisco,7,1204,1414,57,9
Atlantida,San Francisco,23,1374,2080,17,20
Olancho,San Francisco de Becerra,20,1275,1134,9,11
Valle,San Francisco de Coray,7,1529,1411,6,19
Olancho,San Francisco de La Paz,12,2068,1995,9,9
Santa Barbara,San Francisco de Ojuera,10,1453,1056,4,10
Intibuca,San Francisco de Opalaca,36,747,1007,95,69
Cortes,San Francisco de Yojoa,70,2112,2696,79,71
Ocotepeque,San Francisco del Valle,24,898,1342,14,7
Francisco Morazan,San Ignacio,14,2017,1866,29,13
Intibuca,San Isidro,4,313,275,1,1
Choluteca,San Isidro,22,755,707,8,24
Copan,San Jeronimo,9,845,1107,11,12
Comayagua,San Jerónimo,20,2433,2057,22,40
Ocotepeque,San Jorge,14,853,733,7,21
Choluteca,San Jose,14,717,484,4,8
La Paz,San Jose,1,49,98,5,0
Copan,San Jose,9,1314,1334,9,17
Santa Barbara,San Jose de Colinas,21,3158,4164,65,15
Comayagua,San Jose de Comayagua,23,905,957,40,54
Comayagua,San Jose del Potrero,9,327,1110,16,19
La Paz,San Juan,12,276,236,9,48
Intibuca,San Juan,18,1552,1738,11,15
Francisco Morazan,San Juan de Flores,17,2174,2190,45,30
Copan,San Juan de Opoa,24,1417,1286,17,28
Lempira,San Juan Guarita,5,368,184,3,7
Valle,San Lorenzo,53,6075,5912,106,214
El Paraiso,San Lucas,28,1231,1639,21,24
Santa Barbara,San Luis,23,4454,5353,78,31
Comayagua,San Luis,7,832,1297,21,8
Cortes,San Manuel,165,2151,3872,195,138
Lempira,San Manuel Colohete,14,2112,1894,9,19
