Municipio,PL,DC,PINU,UD,PN,VALIDOS,NULOS,BLANCOS,ESCRUTADOS,INSCRITOS,Votos Totales,ABSTENCION
LAUTERIQUE,580,7,16,5,599,"1,207",43,12,"1,262","1,711","1,262","26,24"
SANTA RITA,377,34,37,11,784,"1,243",61,20,"1,324","1,708","1,324","22,48"
POTRERILLOS,671,26,14,14,457,"1,182",36,23,"1,241","1,659","1,241","25,20"
JUAN FCO BULNES,304,14,8,6,483,815,69,41,925,"1,615",925,"42,72"
SAN MIGUELITO,462,24,35,10,549,"1,080",18,8,"1,106","1,530","1,106","27,71"
VERACRUZ,432,3,41,9,534,"1,019",75,24,"1,118","1,528","1,118","26,83"
VIRGINIA,485,22,29,7,416,959,45,17,"1,021","1,464","1,021","30,26"
WAMPUSIRPI,496,5,4,0,493,998,38,14,"1,050","1,450","1,050","27,59"
UTILA,352,3,3,2,443,803,16,18,837,"1,426",837,"41,30"
SAN ISIDRO,471,4,19,10,585,"1,089",41,13,"1,143","1,403","1,143","18,53"
DOLORES MEREND,575,20,45,5,501,"1,146",33,11,"1,190","1,375","1,190","13,45"
CAQBAÑAS,411,11,26,9,561,"1,018",43,14,"1,075","1,338","1,075","19,66"
SN JUAN GUARITA,319,22,19,7,499,866,57,6,929,"1,304",929,"28,76"
TAMBLA,314,10,58,2,359,743,83,30,856,"1,275",856,"32,86"
FRATERNIDAD,447,34,37,4,264,786,22,21,829,957,829,"13,38"
HUMUYA,377,3,6,6,355,747,24,6,777,896,777,"13,28"
YAUYUPE,394,20,14,8,183,619,20,14,653,891,653,"26,71"
MERCEDES DE ORI,165,12,13,20,155,365,23,10,398,617,398,"35,49"
SANTA ELENA,697,150,106,168,"1,015","2,136",169,103,"2,408",3,"2,408","19,73"
SAN JUAN,280,87,24,4,282,677,26,16,719,1,719,"28,10"
