CODIGO,NUM.HOGARES,COC.PIEZA,COC.LENA,COC.CHIMBO,COC.ELEC,SAN.ALC,SAN.FOSA,SAN.LETR,AUTO.UNO,AUTO.UNOPLUS,AUTO.NO,ELDOM.REFRI,ELDOM.LAVAD,ELDOM.SONI,ELDOM.AC,ELDOM.COMPU,ELDOM.MICRO,SERV.CABLE,SERV.INTERNET,ALUMB.SPUB,ALUMB.SPRI,ALUMB.GEN,ALUMB.CANDIL,ALUMB.VELA,ALUMB.OCOT,ALUMB.SOLAR,AGUA.TUBE.DENTRO,AGUA.TUBE.DENTRO2,AGUA.FUERA,AGUA.NONTUBE,AS.SPUB,AS.SPRI,AS.POMA,AS.POBO,AS.CDA,AS.LAG,AS.VEN,AS.OTRO,NBI0,NBI1,NBI2,NBI3,NBI4,NBI.NNM,NBI.SSAG,NBI.SSAN,NBI.SSUB,NBI.HACI,NBI.VME
1623,2318.47,1904.08,2155.51,37.92,73.71,473.7,1202,238.07,218.38,37.94,2059.04,1163.48,163.62,1366.96,70.92,205.09,337.98,887.63,46.6,1978,22,2,71,71,120,1,1113,980,43,131,961,1169,38,5,37,0,1,54,1149,609,268,161,79,71,96,407,725,202,53
1624,883,630.86,866.97,4,5.03,38.04,440.76,100,84.19,12.03,785.78,289.51,28.06,541.45,6.03,25.05,48.08,131.36,4.01,605,1,0,91,74,91,13,92,677,18,88,520,267,46,2,20,3,0,17,285,194,178,151,66,52,44,360,259,93,123
1625,927.1,674.96,789.18,35,77.6,693.48,56.1,30.42,127.63,7.03,791.43,516.3,82.28,624.86,85.17,127.2,193.17,471.2,45,868,1,0,12,13,19,1,789,77,9,39,846,29,13,0,22,1,0,3,436,275,79,70,54,30,47,177,301,56,91
1626,4670.1,3763.05,3112.15,914.59,405.79,1779.89,1805.38,492.51,594.02,67.41,3987.4,2422.71,408.09,2665.74,354.87,455.31,880.18,1917.7,147.67,3957,47,11,276,193,84,21,2469,1810,47,263,1740,2533,92,55,63,2,3,102,2400,1152,543,321,173,207,187,820,1373,401,140
1627,5435.19,4639.78,3537.54,616.42,1054.99,2508.67,1824.41,748.79,970.01,119.27,4331.86,3015.66,811.18,3330.98,180.84,952.91,1381.84,3009.11,488.88,4373,19,6,281,637,28,4,3957,1023,39,329,4368,631,131,22,50,14,4,128,2969,1442,506,293,139,267,232,595,1639,380,233
1628,2842.6,2423.66,2609.68,69.05,90.2,300.09,1150.6,820.74,223.75,53.7,2560.76,1038.27,194.37,1419.68,97.12,196,353.63,817.4,40.81,1848,49,1,551,221,104,25,1675,816,11,298,352,2145,192,10,66,1,0,33,864,673,609,425,228,275,121,1065,1170,272,199
1701,12819.05,8198.91,10053.89,1003.66,1301.47,1845.08,3639.94,5075.75,1636.78,265.18,10909.78,6601.76,479.25,8131.21,562.66,1203.02,2231.7,3978.64,511.6,8579,403,24,2898,168,6,273,2684,5892,486,3290,3753,5058,1404,1159,669,31,53,224,3879,2841,2331,1952,1349,514,1337,4827,4373,2500,804
1702,1939.09,1554.53,1573.35,128.46,204.8,55.63,1098.71,493.57,378.25,36.66,1524.19,1535.07,127.16,1310.41,160.24,236.59,578.68,646.35,119.3,1683,21,7,179,6,0,1,504,1073,35,286,767,743,118,158,20,1,20,69,677,698,235,199,88,57,111,444,864,214,1
1703,2761.59,2259.46,2170.76,191.4,279.66,160.89,901.22,1135.86,157.73,16.36,2563.58,1419.18,102.69,1441.41,86.81,206.6,470.71,951.99,79.24,2479,16,4,110,73,3,2,889,1138,102,556,973,824,377,380,0,0,39,92,905,719,506,343,212,139,261,884,932,498,64
1704,1571.16,1294.17,1356.99,124.38,57.5,16.1,757.62,365.14,280.19,47.23,1238.66,935.74,103.76,967.69,36.22,97.86,326.79,578.89,20.19,1108,19,0,382,3,1,3,523,425,82,485,344,608,124,95,201,9,0,134,420,435,259,230,171,69,344,582,650,130,0
1705,899.22,784.06,817.05,13.03,54.08,5.05,246.42,411.63,97.89,2.05,796.24,428.98,78.31,493.1,79.04,104.35,183.25,210.84,8,556,20,0,262,2,2,32,90,362,65,357,414,61,59,45,275,1,0,18,294,217,137,151,75,31,294,300,269,66,0
1706,3470.19,2393.02,2604.85,496.83,262.95,313.21,1268.48,804.27,581.98,92.39,2792.36,2254.93,149.41,1916.47,147.65,371.98,794.56,1451.21,147.38,2714,148,9,470,29,1,39,601,968,279,1562,772,928,630,529,200,14,85,252,1179,864,625,502,241,76,557,1169,1175,440,40
1707,4480.02,3719.26,4047.5,167.83,164.66,62.93,1248,1637.66,312.15,29.01,4093.74,1179.22,103.24,2938.26,95.14,287.41,406.59,736.37,107.3,1672,25,14,2211,50,6,357,671,1130,159,2375,1184,723,1089,442,558,28,20,290,1189,1008,844,856,437,200,974,1842,1531,658,85
1708,2106.08,1820.24,2021.88,11.58,50.76,9.55,511.48,793.21,84.61,20.58,2000.88,471.31,29.52,857.39,14.55,17.61,65.76,241.06,4.95,810,2,7,1161,24,2,72,215,794,131,939,841,281,182,93,484,28,8,161,413,411,379,527,349,132,713,1093,826,274,94
1709,9051.45,7180.41,5775.34,764.52,1961.17,2463.02,3309.82,2240.36,1186.56,214.41,7618.3,5384.66,547.97,6119.87,2128.42,1266.93,2002.78,3924.88,772.96,7930,93,2,683,150,7,4,4327,3536,217,790,5676,2300,326,158,69,9,199,132,3518,2013,1405,1039,895,398,674,2848,2903,1158,1084
