Departamento,Municipio,PL,PN,Alianza,DC,UD,PAC,APH,FA,VAMOS
El Paraíso,Oropolí,369,2142,1414,2,5,0,1,5,5
El Paraíso,Potrerillos,460,883,580,4,2,4,2,0,0
El Paraíso,San Antonio de Flores,728,2102,820,2,3,6,4,1,0
El Paraíso,San Lucas,1638,2172,674,7,16,4,11,7,2
El Paraíso,San Matías,819,1394,832,3,6,7,3,2,2
El Paraíso,Soledad,1378,1955,2210,6,16,1,10,8,4
El Paraíso,Teupasenti,4283,6855,4944,30,30,31,30,19,15
El Paraíso,Texiguat,1821,2574,937,13,6,3,10,6,1
El Paraíso,Trojes,3561,10293,6575,11,39,92,32,20,19
El Paraíso,Vado Ancho,1013,1143,390,1,0,1,5,1,0
El Paraíso,Yauyupe,175,669,324,0,3,0,2,2,0
El Paraíso,Yuscarán,1062,4419,1969,6,7,13,23,13,7
Francisco Morazán,Alubarén,949,1605,305,5,3,0,7,1,0
Francisco Morazán,Cedros,2722,4520,3187,15,19,14,20,9,6
Francisco Morazán,Curarén,3425,4234,700,7,10,7,16,9,3
Francisco Morazán,Distrito Central,64996,200482,185099,1591,767,1291,1439,766,533
Francisco Morazán,El Porvenir,409,3870,3773,11,11,6,10,4,5
Francisco Morazán,Guaimaca,2287,5737,5562,14,21,15,24,20,4
Francisco Morazán,La Libertad,387,1050,1021,4,4,2,6,4,3
Francisco Morazán,La Venta,703,1792,744,6,9,8,1,3,0
Francisco Morazán,Lepaterique,2944,4201,751,14,12,6,26,16,8
Francisco Morazán,Maraita,870,1960,971,5,3,18,7,9,0
Francisco Morazán,Marale,312,1763,1469,16,17,0,13,9,10
Francisco Morazán,Nueva Armenia,615,993,1202,57,4,3,5,24,5
Francisco Morazán,Ojojona,1953,3092,1397,15,6,9,6,5,3
Francisco Morazán,Orica,324,3090,3285,10,13,7,4,2,10
Francisco Morazán,Reitoca,2248,2553,699,4,2,2,4,4,1
Francisco Morazán,Sabanagrande,2106,4067,2788,13,9,6,13,2,8
Francisco Morazán,San Antonio de Oriente,1475,3079,1791,17,12,28,8,6,3
Francisco Morazán,San Buenaventura,1509,882,355,6,2,5,4,1,2
Francisco Morazán,San Ignacio,1319,2343,1762,4,8,7,3,0,2
Francisco Morazán,San Juan de Flores,2544,3737,1381,10,7,3,9,8,3
Francisco Morazán,San Miguelito,565,828,413,3,3,0,1,3,2
Francisco Morazán,Santa Ana,2581,2237,2546,15,19,28,33,38,17
