Departamento,Municipio,Liberal,Nacional,Libre-PINU,Democrata Cristiano,UD,PAC,Alianza Patriotica,Frente Amplio,VAMOS
Choluteca,SANTA ANA DE YUSGUARE,1513,3105,3488,1,7,2,9,5,8
El Paraiso,YUSCARAN,1062,4419,1969,6,7,13,23,13,7
El Paraiso,ALAUCA,938,3091,1916,10,2,5,6,2,3
El Paraiso,DANLI,13589,29725,26887,107,87,116,107,47,49
El Paraiso,EL PARAISO,4749,9644,5603,24,21,27,33,12,7
El Paraiso,GUINOPE,888,2395,1322,13,11,3,5,3,1
El Paraiso,JACALEAPA,717,1440,1105,3,1,8,2,0,0
El Paraiso,LIURE,1920,3189,1701,5,6,4,4,2,1
El Paraiso,MOROCELI,1401,3544,1765,11,7,16,9,2,5
El Paraiso,OROPOLI,369,2142,1414,2,5,0,1,5,5
El Paraiso,POTRERILLOS,460,883,580,4,2,4,2,0,0
El Paraiso,SAN ANTONIO DE FLORES,728,2102,820,2,3,6,4,1,0
El Paraiso,SAN LUCAS,1638,2172,674,7,16,4,11,7,2
El Paraiso,SAN MATIAS,819,1394,832,3,6,7,3,2,2
El Paraiso,SOLEDAD,1378,1955,2210,6,16,1,10,8,4
El Paraiso,TEUPASENTI,4283,6855,4944,30,30,31,30,19,15
El Paraiso,TEXIGUAT,1821,2574,937,13,6,3,10,6,1
El Paraiso,VADO ANCHO,1013,1143,390,1,0,1,5,1,0
El Paraiso,YAUYUPE,175,669,324,0,3,0,2,2,0
El Paraiso,TROJES,3561,10293,6575,11,39,92,32,20,19
Francisco Morazan,DISTRITO CENTRAL,64996,200482,185099,1591,767,1291,1439,766,533
Francisco Morazan,ALUBAREN,949,1605,305,5,3,0,7,1,0
Francisco Morazan,CEDROS,2722,4520,3187,15,19,14,20,9,6
Francisco Morazan,CURAREN,3425,4234,700,7,10,7,16,9,3
Francisco Morazan,EL PORVENIR,409,3870,3773,11,11,6,10,4,5
Francisco Morazan,GUAIMACA,2287,5737,5562,14,21,15,24,20,4
